"Year","TTI_ALL","TTI_DEEP","TTI_SHALLOW","GES_ALL","LAG1_ALL","DIP_ALL","DIN_ALL","CHLA_ALL","DO2_ALL","Secchi_ALL","DO2_Mt_ALL","DIP_SHALLOW","DIN_SHALLOW","CHLA_SHALLOW","DO2_SHALLOW","Secchi_SHALLOW","DO2_Mt_SHALLOW","DIP_DEEP","DIN_DEEP","CHLA_DEEP","DO2_DEEP","Secchi_DEEP","DO2_Mt_DEEP","TN_load","TP_load","PPR_ALL"
1954,0.759342739531642,0.760846529038111,0.758146019454981,0.649888143176734,0.601155369611745,0.151407279763572,2.68538407963789,1.08785172133844,8.6762548828125,5.60289669036865,9.383,0.169709284099703,3.12208270746095,1.46467660974564,10.6214111328125,5.42782211303711,0.515,0.128294135098197,2.13388827761161,0.611968971050139,6.219765625,5.82399368286133,8.868,689,33.9,2.86833011822847
1955,0.757365946753827,0.760035091679598,0.755233979627447,0.644227509999322,0.622008677377805,0.136843849333763,2.81820843903733,1.20647187536985,8.430966796875,5.59535932540894,10.225,0.156534548773494,3.33013970012229,1.68773668525072,10.454693359375,5.40812492370605,0.685,0.111976956268155,2.17170322141898,0.598694553889975,5.875251953125,5.83181285858154,9.54,725,35.4,2.6411270048303
1956,0.753736627773072,0.748408728837948,0.757887009844103,0.619585112873703,0.607252615641877,0.142581187671647,2.96729684188351,1.10420245078529,8.594814453125,5.60059976577759,10.162,0.166978129618968,3.52103648127977,1.4921548871663,10.7096044921875,5.41533899307251,0.609,0.111770898357713,2.26799286635939,0.614266997778414,5.92410009765625,5.83456087112427,9.553,751,37,2.76274617972706
1957,0.76390895525985,0.746269943470545,0.777115398059852,0.635990780286082,0.604430773054934,0.136718751826611,3.28981512439433,1.1094234868859,8.400265625,5.60237216949463,10.73,0.15633841190625,3.87189070165381,1.52289401736993,10.55837109375,5.41659307479858,0.612,0.111941572596527,2.55472639988683,0.58726186947891,5.67484765625,5.83698797225952,10.117,774,37.8,2.78514098505212
1958,0.753630976485473,0.735421939172967,0.767277894195115,0.598705172530676,0.591180258965494,0.132754461911146,3.57749249439244,1.14107900769528,8.4329208984375,5.61482238769531,10.924,0.153120002389921,4.16845297873943,1.57566801354607,10.6877861328125,5.43552160263062,0.581,0.10703532893372,2.8311832423907,0.592247394625563,5.58530810546875,5.84125709533691,10.343,787,39.2,2.63560923098569
1959,0.760797856338538,0.753916074245895,0.766129337283269,0.611755135245068,0.611893543940524,0.12852771467031,3.84738285167229,1.13738765305999,8.07381201171875,5.61137533187866,11.351,0.152311403213563,4.43980635478406,1.59426506451937,10.29895703125,5.4314136505127,0.706,0.0984918877805141,3.09922598977284,0.56040856861334,5.263732421875,5.83864402770996,10.644,814,40.9,2.6691414553229
1960,0.761954554091104,0.759590243412635,0.763812689093162,0.625855874178022,0.600851919643866,0.151847419234078,3.78419005075195,1.12224296498125,8.46645703125,5.62051153182983,10.005,0.174445076767701,4.27875786113147,1.53147367949113,10.48479296875,5.43997049331665,0.628,0.123309401316445,3.15961270183446,0.605435705390228,5.91755126953125,5.84851169586182,9.377,831,41.7,2.74399860619395
1961,0.761466435304575,0.743266999581463,0.775078156830085,0.644600366076876,0.601721917158159,0.164563060416705,3.46714979588885,1.43768010149656,8.12027099609375,5.58933782577515,9.755,0.195002056180738,3.87850690748142,2.08124074347411,9.980822265625,5.38986158370972,0.739,0.126122412078871,2.9476571624728,0.624943422727542,5.7706279296875,5.84125137329102,9.016,830,42.5,2.91567997257345
1962,0.756792993820384,0.736040082398105,0.772216780845992,0.619178360789099,0.587220075475109,0.189679507784107,3.42490959855344,1.44742107214872,8.4052548828125,5.53505325317383,9.889,0.218807712225675,4.00561723587829,1.99423031004109,10.4838759765625,5.32175636291504,0.637,0.152894225104911,2.69154841126109,0.756869327779631,5.7802158203125,5.80442094802856,9.253,860,43.4,3.03535345969896
1963,0.759891679216048,0.735492263486657,0.777812976112216,0.607789302420175,0.593414570763564,0.150892645505608,3.4913761216824,1.07377864109533,8.2800576171875,5.62587881088257,10.975,0.17613551947276,4.0870094793021,1.46616053112349,10.4676796875,5.45562982559204,0.685,0.11901404974871,2.73916561460665,0.57824934158646,5.51736328125,5.84088230133057,10.291,899,45.1,2.70448236308191
